Comuna;Validos_2008;Validosp_2008;Nulos_2008;Nulosp_2008;Blancos_2008;Blancosp_2008;Votacion_2008;
COIHUECO;11268;0.9607;284;0.0242;177;0.0151;11729;
CONCEPCION;95949;0.901;8072;0.0758;2476;0.0232;106497;
CONTULMO;3281;0.9641;62;0.0182;60;0.0176;3403;
CORONEL;39845;0.9076;2971;0.0677;1086;0.0247;43902;
CURANILAHUE;15138;0.9354;648;0.04;398;0.0246;16184;
EL CARMEN;7053;0.9656;146;0.02;105;0.0144;7304;
FLORIDA;6386;0.9304;289;0.0421;189;0.0275;6864;
HUALPEN;40139;0.9104;2999;0.068;951;0.0216;44089;
HUALQUI;10277;0.9465;326;0.03;255;0.0235;10858;
LAJA;11095;0.9472;359;0.0306;259;0.0221;11713;
LEBU;10655;0.935;417;0.0366;324;0.0284;11396;
LOS ALAMOS;8874;0.9531;244;0.0262;193;0.0207;9311;
LOS ANGELES;65897;0.9046;4496;0.0617;2456;0.0337;72849;
LOTA;26968;0.9402;1240;0.0432;474;0.0165;28682;
MULCHEN;13191;0.9347;500;0.0354;422;0.0299;14113;
NACIMIENTO;11993;0.9301;576;0.0447;325;0.0252;12894;
NEGRETE;4576;0.962;96;0.0202;85;0.0179;4757;
NINHUE;3883;0.9786;52;0.0131;33;0.0083;3968;
NIQUEN;6015;0.9589;138;0.022;120;0.0191;6273;
PEMUCO;4858;0.9739;67;0.0134;63;0.0126;4988;
PENCO;22773;0.939;1067;0.044;413;0.017;24253;
