Tipo de Elección;Cargo;Fecha de Elección;Año de Elección;Inicio de Período;Fin de Período;Período;Id Región;Región;Circunscripción Senatorial;Distrito;Comuna;Circunscripción Electoral;Nombre Circunscripción Electoral;Sexo Mesa;Candidato (a);Nombres;Apellido Paterno;Apellido Materno;Sexo;Electo(a);Partido;Sigla Partido;Lista;Votos Totales
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;GENERAL LAGOS;6;GENERAL LAGOS;MUJER;VOTOS EN BLANCO; ;  ; ;; ; ; ; ;23
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;4;PUTRE;HOMBRE;BARRIOS AGUIRRE MARIO;MARIO;BARRIOS;AGUIRRE;HOMBRE;;INDEPENDIENTE;IND;A;26
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;4;PUTRE;HOMBRE;CRESPO CANCINO JUANA;JUANA ISABEL;CRESPO;CANCINO;MUJER;;INDEPENDIENTE;IND;CI;126
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;4;PUTRE;HOMBRE;HUMIRE ALEJANDRO FRANCISCO;FRANCISCO;HUMIRE;ALEJANDRO;HOMBRE;SI;UNION DEMOCRATA INDEPENDIENTE;UDI;B;812
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;4;PUTRE;HOMBRE;SANTOS SANTOS OVIDIO;OVIDIO CLAUDIO;SANTOS;SANTOS;HOMBRE;;INDEPENDIENTE;IND;C;452
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;4;PUTRE;HOMBRE;VOTOS NULOS; ;  ; ;; ; ; ; ;65
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;4;PUTRE;HOMBRE;VOTOS EN BLANCO; ;  ; ;; ; ; ; ;34
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;4;PUTRE;MUJER;BARRIOS AGUIRRE MARIO;MARIO;BARRIOS;AGUIRRE;HOMBRE;;INDEPENDIENTE;IND;A;16
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;4;PUTRE;MUJER;CRESPO CANCINO JUANA;JUANA ISABEL;CRESPO;CANCINO;MUJER;;INDEPENDIENTE;IND;CI;102
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;PUTRE;4;PUTRE;MUJER;HUMIRE ALEJANDRO FRANCISCO;FRANCISCO;HUMIRE;ALEJANDRO;HOMBRE;SI;UNION DEMOCRATA INDEPENDIENTE;UDI;B;532
